text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,max_prob,model_decision,uncertainty_score
"""A Palestinian Gazzan man from inside Gaza and above the rubble of destruction sends a message to the Shia and all those in support of Iran and Sunni-Shia unity.

This what the Palestinians make of such absurd and shameful idea which the likes of @Haqiqatjou promoting

Any words @Haqiqatjou @dkayofficial_""",0.8746435,0.17427714,0.021846747,0.8746435,Irrelevant,0.32572286
"""Alhamdulillah, the wait is over!

The ""70 Hadeeth Refuting Khawarij"" book has been finally translated! Read and share; the khawarij have no excuse now!",0.85940063,0.100673236,0.026022213,0.85940063,Irrelevant,0.35940063
"""Alhamdulillah a dog of hellfire has been suspended from this platform.

Let's see if this hypocrite kharijite will appeal to Twitter laws (laws other than Laws of Allah), so, will that make him then kaafir as per his ""standards""?",0.86220914,0.13364011,0.022117492,0.86220914,Irrelevant,0.36220914000000004
"""Would you believe me if I told you this is Shaykh Ahmad bin Taalib reciting?",0.23322196,0.019213757,0.5751359,0.5751359,Salafi taklidi,0.07513590000000003
"""""We have (Muslim) MPs and we have councillors whose affiliation is greater to their party than to the Ummah.""

Watch Shaykh Zahir Mahmood's impassioned plea to Muslims to use their vote on Thursday in the cause of Gaza.",0.84381974,0.15953785,0.024575407,0.84381974,Irrelevant,0.34046215
"""""We have (Muslim) MPs and we have councillors whose affiliation is greater to their party than to the Ummah.""

An even bigger shame on those who turn a blind eye and refuse to call out MPs and councillors because theyre hedging their bets on Labour and because they know these people personally. You think we dont? What matters more to you? What happened to your principles and putting the children of Gaza first? Gaza has exposed everyone.

@5Pillarsuk @ShaykhZahir """,0.7303059,0.22419597,0.029366013,0.7303059,Irrelevant,0.23030589999999995
"""A rich and powerful conversation between @BegumNadiya and @VickNHopeWe LOVED it! 

Listen to it in full on @WomensPrize Bookshelfie podcast now!""",0.34638605,0.015332112,0.6619116,0.6619116,Salafi taklidi,0.15361395
"""Great coverage for @BegumNadiya #schwartz range that has just launched in @asda  in @Grocery_Trader 
#recipekits #fmcg 
Schwartz partners with Nadiya Hussain to spice up the recipe kit category",0.8481424,0.015381135,0.09279185,0.8481424,Irrelevant,0.34814239999999996
"Congratulations to Julian, winner of my #ThankATeacherDay baking competition @UKThankATeacher! I loved the gorgeous bake you made for Miss Packenham of @stgeorges_head in Enfield. Keep up the brilliant baking!",0.81516296,0.01559557,0.16661432,0.81516296,Irrelevant,0.31516296
"""We are thrilled to announce the next book from @BegumNadiya, #NadiyasSimpleSpices  

Coming this August. Pre-order your copy today:",0.33800405,0.014627817,0.73272985,0.73272985,Salafi taklidi,0.16199595
"""It's good Amjad has been caught. That said, it should be noted that most of the team that uncovered and investigated this massacre in the first place refuses to deal w/the new govt because of the massacres on the coast &amp; in al-Suwayda' &amp; the comparative lack of accountability.""",0.7485445,0.4613897,0.032450296,0.7485445,Irrelevant,0.038610299999999986
"""@qunfuz2 @zriboua Siba al-Khiami. Here's the brilliant full version.",0.2169676,0.056634452,0.30251014,0.30251014,"No decision, maximum is Salafi taklidi",0.19748986000000002
"""""Well I'd lose my seat!""

Labours @jessphillips suggests pro-Palestine independent Akhmed Yakoob could be a threat to her if the West Midlands mayoral results were repeated at the General Election, arguing that Israel-Gaza is a massive issue among her constituents

#Peston",0.70109934,0.22473125,0.041369494,0.70109934,Irrelevant,0.20109933999999996
"""This treacherous Rafidi set fire to the body of a Muslim who had no sin except that he testifies that there is none worthy of worship but Allah and that Muhammad is the Messenger of Allah.
So after this, do you still say that Muslims and the Shia, the children of Muta fornication, are brothers?!!""",0.6469989,0.47586915,0.04451112,0.6469989,Irrelevant,0.02413084999999998
"""They were gathered around the Iftar table, waiting for the Maghrib call to prayerchildren, parents, and relatives.
And in the moment the call to prayer rose, a Katyusha rocket fell on them, launched by the terrorist Houthi militia, turning the Iftar gathering into a bloody massacre
#Iftar_Massacre_Hairan 
#__""",0.8713839,0.22253986,0.027050149,0.8713839,Irrelevant,0.27746013999999997
"""Allahumma baarik!

Two Premier League footballers have donated to the Masjid Daar us Sunnah appeal. May Allah reward them and increase them in goodness.

You never know who is benefitting from your dawah. You never know whose heart Allah will soften through your efforts.

This is a reminder that the call to good reaches people you would never expect. Keep sharing. Keep giving. Keep making duaa.

Even a small contribution can make a difference tonight.

 Donate now:  


 PayPal (quickest for the US ):  


 Launchgood


Please donate and share with others.  

May Allah reward you and place it in your scale of good deeds.

#DusMasjidAppeal""",0.3167838,0.016742874,0.6649885,0.6649885,Salafi taklidi,0.16498849999999998
"""*A sister heard our call and answered it with her gold set.*

The Prophet  said: ""Verily, in Paradise are two gardens with silver vessels and two gardens with golden vessels."" [Bukhr & Muslim, from Ab Ms al-Ashar]

May Allh accept from her, replace what she gave many times over, and grant her those golden gardens in Paradise. mn.

Who will be next?",0.8776746,0.011390943,0.09059278,0.8776746,Irrelevant,0.37767459999999997
"""Sins bring a lot of burden in your health, rizq, and ibadah.""",0.7935761,0.08684517,0.06125219,0.7935761,Irrelevant,0.2935761
"Im excited tell you that @GOSHCharity has launched their Christmas Appeal! Help spread festive cheer to the children, families and staff at GOSH by sending a special Christmas stocking message and donation if you can:  Thank you",0.8682705,0.018211454,0.19742857,0.8682705,Irrelevant,0.30257143
"""This is literally the best cheesecake weve ever heard of @BegumNadiya 

Watch the full interview with Nadiya on @GlobalPlayer",0.26874864,0.017680038,0.81033975,0.81033975,Salafi taklidi,0.23125136000000002
"""""It's about making the oven do the work""

@BegumNadiya is back with a new book and some remarkable baking brilliance  

#TheOneShow",0.311106,0.017333267,0.809819,0.809819,Salafi taklidi,0.188894
"""Baking champion and TV chef @BegumNadiya is here! 

What are your best bakes to make? Wed love to hear about and see them! 

Tonight at 7pm on @BBCOne &amp; @BBCiPlayer  #TheOneShow",0.22203113,0.014715396,0.7630773,0.7630773,Salafi taklidi,0.26307729999999996
"""""To celebrate the release of #GBBO star @BegumNadiya's new book, we're giving away a set of Prestige cookware and a personalised video message from Nadiya herself! Details here:  
""
--------------

There's not long to go until the release of my new cookbook #NadiyasEverydayBaking - I can't wait to share these recipes with you all!
Pre-order your copy @Waterstones and you could win a personalised video message from me and a set of brilliant bakeware",0.85532695,0.014112285,0.18430686,0.85532695,Irrelevant,0.31569314000000004
