text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,max_prob,model_decision,uncertainty_score
"""The Mohamed Salah replacement has to be Michael Olise.""",0.85168153,0.18350217,0.028336557,0.85168153,Irrelevant,0.31649783
"""The person who narrates this to abdurrazaq was called a liar by imam ahmad",0.37959895,0.026547227,0.2791452,0.37959895,"No decision, maximum is Irrelevant",0.12040105000000001
"""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time.",0.78631777,0.114370406,0.028610475,0.78631777,Irrelevant,0.28631777
"""""   

We ask Allah to guide and rectify all of our affairs.

Due to recent matters and the lack of a clear public stance regarding the situation surrounding Abu Iyad, which has had an impact on the community, a decision has been made in accordance with what we believe is in the best interest of the Ummah. As Muslims, when clarity comes to us, it is upon us to stand firmly upon it.

Effective immediately, our brother Kashif Khan will no longer serve as the Imam or teacher of our masjid.

For any questions or concerns, please direct them to the administration.

  ""
""
--------------

To the saved sect , honest question. 

What is the basis for boycotting someone who doesnt speak on an individual? Keep in mind, im not referring to major innovators",0.8017879,0.070037544,0.03893069,0.8017879,Irrelevant,0.3017879
"""Shia Worship Ali.  They seek protection from him just like us Muslims seek protection from Allah. They replace Allah with Ali in their Dua. Not all Shia are kuffar but majority of them are because of this Paganism! May Allah guide them.""",0.8020907,0.1526002,0.03419964,0.8020907,Irrelevant,0.30209070000000005
"""""@Hayydar_ @AvdullahYousef Do you feel jealous and insecure if women study and work and earn and get their own bank accounts and live their lives to the fullest while contributing to society at the same time?

Do you want half the human population to be illiterate burdens on society who cannot be allowed""
""
--------------

Live Hayydar reaction",0.66168046,0.02048402,0.11325484,0.66168046,Irrelevant,0.16168046000000003
"""@Hayydar_ Dropping the casket during a janaza cause I suddenly realised I don't know if he's on the manhaj""",0.427645,0.12719554,0.0921531,0.427645,"No decision, maximum is Irrelevant",0.072355
"""1) The referenced tweet is in the context of Gaza being slaughtered by the apes and swines. In response to this Zindiqs scholars dishing out satanic fatwas that no one is allowed to help them physically without the rulers permission. Open up a book of Fiqh and read about   you Zindq. Already exposed the ignorance of these Zanadiqa here: 

2) Again, hes talking about the Jihad of the Palestinians against Israel, and you bring statements of Al-Hafidh Ibn Hajar about the Qadiyyah, to try and prove hes inciting against the ruler. So youre implying Israel is the ruler who is to be obeyed and not rebelled against, nor spoken against, nor incited against? Great refutation and self expos of you being a now out of the closet Zionist. Lol

3) You Zanadiqa MBS/MBZ worshippers cant tell the difference between an actual sinful Muslim ruler and a Taghut whom Allah conditions our Islam with Hating and Rejecting, and in turn apply the rights of the former on the latter.

4) You Zanadiqa have yet to bring a single incident from the Salaf, of your applied understanding. Bring a SINGLE instance, where a Muslim ruler (let alone a Kafir like we have nowadays), was criticized for open Fisq he was committing, whether in front of his face, or behind his back, and the Salaf called the one who criticizing him a Khariji. Ill wait, and this is an open challenge. Unless youre implying Islam was missing this crucial applied understanding for 1400+ years, until spubs came along in junction with Prevent (UK Gov agency) to show us the way of the salaf. Lol

5) Ive brought multiple instances of Salaf criticizing to the rulers face, behind the rulers back, and even making Takfir of rulers behind their back here: 

6) Not a single one of you minions has brought forth his statements in their appropriate context (ever), and refuted it academically. You just rely on others being as incompetent as you.

7) This is all coming from an Abu Khadeejah fanboy mind you, who is viewed as a scholar according to these morons. A guy whom my 4 year old   can recite better Quran than. 

The Jahmis and Madkhalis are in a close race to win out, who is the most intellectually brain dead group ascribing itself to Islam. The new age Madkhalis are making a strong case to be honest.""",0.664848,0.33267444,0.03081689,0.664848,Irrelevant,0.164848
"""Democracy is Shirk and the Deen of the enemies of Islam.

#KufrDemocracy
#DontVote
#TheHukmIsForAllahAlone",0.7575775,0.3165345,0.027429892,0.7575775,Irrelevant,0.1834655
""" Legislating Shariah/Laws is sole right of Allah 

Whoever Assoicates with Allah in this by making Man-Made Laws, or voting for Legislators in Election is a Kafir Mushrik",0.29466292,0.3016084,0.11022468,0.3016084,"No decision, maximum is Salafi jihadi",0.1983916
"""The Shaykhs renowned Tawhid series, a treasure of authentic knowledge.

37 classes grounded in clarity and truth.

Bookmark it. Share it. Spread it for the sake of Allah.""",0.05535205,0.26522538,0.637504,0.637504,Salafi taklidi,0.13750399999999996
"""Its genuinely heartbreaking that so many who claim Islam today don't even grasp the meaning of Shirk. 

We are talking about the greatest sin imaginable, the sin  will never forgive for whoever dies upon it without repentance, and the crime that condemns a person to eternity in the Fire. 

How have you not found the time to study a matter that decides your eternal fate?

What should be the clearest of all realities has become a subject of debate among people who belong to the very Deen that came to erase Shirk and establish Tawhid. 

If these people actually sat down, opened the Book of , and pondered its verses with the help of the great Mufassirun like Ibn Jarir, Ibn Kathir, al-Qurtubi, and al-Sadi, they would see that the entire Quran is Tawhid.

All of it is a condemnation of Shirk, a warning against its hideous nature, and a clear description of the end of those who practice it.

But instead of learning, they prefer to waste their lives attacking the Dawah of Sheikh Muhammad ibn Abd al-Wahhab, may  have mercy on him. 

May  reward you on behalf of this Ummah, Sheikh, for you called to the pure Tawhid until the ignorant masses in their sheer lack of knowledge began to think you invented these core beliefs. 

They don't realize that your call was nothing more than the call of every Prophet and Messenger from the beginning of time.

I tell you this: Leave the books of the Sheikh aside for a moment, even though they are nothing but Ayat and Ahadith. 

Go directly to the Book of , the Revelation sent to this entire Ummah. Go to the scholars the Ummah has agreed upon for over a thousand years,Ibn Jarir and Ibn Kathir, and actually spend your time studying.

May  guide us and you to the Truth. 

May He protect us from deviation, whims, and the poison of doubts.""",0.091475636,0.24649137,0.50064147,0.50064147,Salafi taklidi,0.0006414700000000328
"""According the fat Mushrik @Haqiqatjou, anyone that says the bbqd pig @khamenei_ir insults the Sahabah is an Israeli backed accountwhat about his own book? Did the IDF secretly publish it? 

Lol, This guys posts are like the official IDF account, pure gaslighting. You see in the destroyed Mushriks own book, he insults the Sahabah numerous times on just one page:

1) Accuses Al-Farq   , of not submitting to Haqq.

2) Accuses a group from the Sahabah of  (very derogatory way to describe hanging up on someone in Arabic) against Ali   .

3) Accuses Fatimah    of slandering the Sahabah who gave Baya to the greatest man after The Prophet     (Abu Bakr   ) by saying they committed a major sin: and indeed they have done that for which Allah is their Reckoner and the One who will call them to account...

4) Accuses the most noble of Sahabah, some of whom are promised Jannah on the Tongue of The Messeneger and by extension Allah  :  And with great regret, they took advantage of his preoccupation and proceeded to seize the caliphate, steal it, and prevent him from his rightful claim to it. That cowardly act had negative consequences

Or will @Haqiqatjou behave like Madkhalis and call these all insults duna insults?

For more clear cut proof of the Shirk of the Rawafidh  scholars and laymen:

#NEW | THE RAFIDHAH | The People of Shirk & Kufr",0.3670788,0.70335305,0.07604194,0.70335305,Salafi jihadi,0.13292120000000002
"""""Istightha coupled with the right belief/intention can never be shirk, just like our belief about Sayyidun Izrl taking souls and Sayyidun Jibrl granting Sayyidatun Maryam a child isnt shirk either. Majz Aql is the word.

Y Raslu Llh  madad, y Ab Bakr madad, y Umar madad, y Uthmn madad, y Al madad.

It is permitted to say this. for example, the Prophet  as a sabab (means) and to attribute the effect to the sabab, as long as one knows that the musabbib (the one who brings about the effect) and the creator of the effect is Allh, since everything is created by Allh. This is known as kasb (occasionalism), which is what distinguishes us from this takfiri imbecile.""
""
--------------

According to this  mushrik worshipping other than Allah wouldn't be shirk as long as it's  done with intention, Acording to this mushrik worshipping Zeus wouldn't be shirk either as long as they believe zeus isn't  equal to Allah.",0.55930394,0.43850145,0.040467918,0.55930394,Irrelevant,0.059303940000000055
Only Madkhalis would use A.I photo to refute the real one,0.80386555,0.075335585,0.071286544,0.80386555,Irrelevant,0.30386555000000004
"""It these quburists, who claim to be from Ahl al-Sunna, read some books they would realize that it was Allh who revived the dead after Eis (peace be upon him) prayed to Allh for it.

Imm al-abar said:

Eis (peace be upon him) revived the deceased by praying to Allh for them; thus, his prayer was answered.

| Tafsr al-abar, vol. 5, p. 424.

Even the Ashar scholar, Fakhr al-Deen al-Rz, said:

Is it permissible to say that He (Allh the Most High) placed within the self of Eis (peace be upon him) a characteristic in the sense that whenever he blew into something his blowing would necessitate for that thing to become alive? Or to say that it isnt like that; but rather, Allh, the Most High, used to create life within that body with His ability at the moment when Eis (peace be upon him) blew into it as a way of manifesting a miracle? This second explanation is the truth because Allh, the Most High, said: The One who created death and life (67:2). And it was mentioned that Ibrhm (peace be upon him) said in his debate with the king: My Lord is the One who gives life and cause death (2:258), so if this characteristic occurred for other than Him then that argument would have perished.

| al-Tafsr al-Kabr, by Fakhr al-Deen al-Rz, vol. 8, pp. 228 229.

Its essentially the same as the story mentioned in the following verse:

So We said: ""Strike him (the dead man) with a piece of it (the cow)."" Thus Allh brings the dead to life and shows you HisAyt(proofs, evidence, verses, lessons, signs, revelations, etc.) so that you may understand.

| Qurn [Hilali & Khan Translation], ch. 2, v. 73.

In this verse, it is Allh who revived the dead man at the moment when he was struck by a piece of the cow. It wasnt the piece from the cow that revived him.

           """,0.4780774,0.017301872,0.3987188,0.4780774,"No decision, maximum is Irrelevant",0.021922600000000014
"""""@followerofgod96 @Alelislam It's obvious that despite the Shaykh holding those beliefs regarding the UN, he still affirmed Islam for Muslim rulers who are in fact in the UN""
""
--------------

Because he believes doing  major shirk doesn't make someone a mushrik",0.17855479,0.6856156,0.15961659,0.6856156,Salafi jihadi,0.1856156
""" Reality of Deobandi Creed

1- Belief in Wahdatal Wujood (Allah is everywhere in everything)

- Fatwa of Darul Uloom 

""Yes Allah is everywhere in everything, all the time.""",0.2949827,0.05240583,0.27156243,0.2949827,"No decision, maximum is Irrelevant",0.2050173
"""""His point is that youre taking their words out of context. If their statements meant what youre claiming, they would have applied them when addressing the rulers they advised. 

In the excerpts from Ahmad Shakir he clearly states that the legislators in Egypt he was advising are Muslims like him, rather than declaring them mushriks for not ruling by the shariah.""
""
--------------

Nobody took their word out of context, especially muqbil he clearly said ruling by un is shirk.

They don't apply it to their rulers because they're donkeys carrying  a book but that doesn't disprove the facts they've said ruling by the un is shirk",0.33069134,0.5732767,0.08082652,0.5732767,Salafi jihadi,0.07327669999999997
"""Jam'at Ahl as-Sunnah lid-Da'wah wa'l-Jihd (JASDJ), mostly known as Boko Haram, recently released a video threatening ISWAP. The group in the video appears to be based in the Lake Chad area under the authority of the JAS overall leader Bakura Doro, aka Abu Umaymah.    

The speaker begins by calling ISWAP apostates and deviants, and tells them not to rejoice over the death of Abu Bakr al-Shekawi (Shekau). As a reminder, Shekau blew himself up in 2021 when he was cornered by ISWAP in the Sambisa Forest. ISWAP had called upon him with loudspeakers to surrender, but he refused.    

He adds that after Shekau there are many other Shekaus who dont die and dont change, and who follow his ways and teachings, and will remain until the Day of Judgement.    

He calls ISWAP deviants for not considering regular Muslim civilians apostates for living in territories controlled by the Nigerian government, which JAS describes as the general of the polytheists. This is a major difference between JAS (Boko Haram) and ISWAP, as the latter only sees the military, their auxiliaries, and Christians who dont pay the jizyah as legitimate targets. By contrast, JAS views everyone living under the apostate governments as legitimate targets, which is the reason behind the recent bombings in Maiduguri by JAS.    

The speaker then addresses ISWAP again, urging them to repent before JAS destroys them, and says that if they do, they will be safe from them.  

He then greets JAS fighters in all their provinces, the Mandara Mountains, and Sadikus mobile faction in the northwest and north central, as they renew their pledge of allegiance to Abu Umaymah. Children are visible among the group.""",0.49675158,0.42300624,0.046327237,0.49675158,"No decision, maximum is Irrelevant",0.003248419999999974
""" Legislating Shariah/Laws is sole right of Allah 

Whoever Assoicates with Allah in this by making Man-Made Laws, or voting for Legislators in Election is a Kafir Mushrik",0.29466292,0.3016084,0.11022468,0.3016084,"No decision, maximum is Salafi jihadi",0.1983916
""" THREAD

Abu Yahya al-Muhajir

the Nigerien fighter in the ranks of ISWAP who was killed by JASDJ",0.8744705,0.16936632,0.018173588,0.8744705,Irrelevant,0.33063368000000004
"""We have one side of the spectrum of Zandaqa who say The Messenger Muhammad     was a Mushrik before the Rislah, and we have the Zandaqa-Lite version of that, who are comfortable to publicly say that The Messenger     wasnt a Muslim until the Rislah      . Both groups cant even recite a page of Quran better than my 5-year old child.

Apart from the pathetic Istidlal which is not even worth a response, this heretic seems to find joy in using the religion of Allah to farm engagement. May Allah sever the tongue of every heretic who dares transgress against the Messenger    .""",0.60178983,0.5005468,0.045878444,0.60178983,Irrelevant,0.0005467999999999584
"""The toilet paper of the rulers

Shaykh AMJ",0.5999714,0.2062201,0.046812415,0.5999714,Irrelevant,0.09997140000000004
"""May Allah have mercy upon Abu Obaidah 

People like @Haqiqatjou and @HarounKanj hate his belief

They support Palestine; but wage war against the belief of the Mujahidn fighting for it.",0.22056799,0.6597684,0.14636067,0.6597684,Salafi jihadi,0.15976840000000003
"""Subhanallah, and we will still have more people coming to defend this vile Taghut, even while he ""congratulates"" these Mushrikeen on their filthy holiday. May Allah bring him disgrace.""",0.55652356,0.64273447,0.057258755,0.64273447,Salafi jihadi,0.05652356000000003
"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf:

There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;""",0.4361691,0.44782683,0.072572604,0.44782683,"No decision, maximum is Salafi jihadi",0.05217316999999999
"""The Difference Between Dr al-Islm and Dr al-Kufr:

Ab Ysuf, the companion of Ab anfah, said:

A land is considered Dr al-Islm when the rulings of Islam are manifest in it, even if most of its inhabitants are disbelievers. And a land is considered Dr al-Kufr when the rulings of disbelief are manifest in it, even if most of its inhabitants are Muslims.
[al-Mabs by al-Sarakhs 10/144]

Ibn Mufli al-anbal said:

Every land in which the rulings of the Muslims prevail is Dr al-Islm, and if the rulings of disbelief prevail in it, then it is Dr al-Kufr. There is no third category beyond these two.
[al-db al-Shariyyah 1/213]

Ibn al-Qayyim al-Jawziyyah said:

The majority said: Dr al-Islm is that land in which the Muslims reside and upon which the rulings of Islam are implemented. Whatever the rulings of Islam are not implemented upon is not Dr al-Islm, even if it is adjacent to it.
[Akm Ahl al-Dhimmah 1/266]

Al-Q Ab Yal al-Farr said:

Every land in which the dominance is for the rulings of disbelief over the rulings of Islam is Dr al-Kufr.
[al-Mutamad f Ul al-Dn, p. 276]

Al-Ksn said:

When the rulings of disbelief become manifest in a land, it becomes Dr al-Kufr; a land becomes Dr al-Kufr by the manifestation of the rulings of disbelief.
[Badi al-ani 9/4375]

Muammad ibn al-asan al-Shaybn said:

Every land is attributed either to Islam or to disbelief. A land is attributed to Islam when its rulings are implemented in it, and it is attributed to disbelief when its rulings are implemented in it. Just as one says Paradise is the abode of peace and Hell is the abode of ruin, due to the presence of peace in Paradise and ruin in Hell. Likewise, the manifestation of Islam or disbelief is by the manifestation of their rulings.
[Badi al-ani 9/4375]

Manr al-Buht said:

Hijrah is obligatory upon one who is unable to manifest his religion in Dr al-arb, which is the land where the rulings of disbelief prevail.
[Kashshf al-Qin 3/43]

Al-Allmah amad ibn Atq said:

Whoever has familiarity with what the verifying scholars have established knows that when shirk becomes manifest in a land, prohibited matters are openly practiced, and the symbols of the religion are abolished, then it becomes a land of disbelief, its peoples wealth may be taken and their blood made lawful. The people of this land have gone further by openly insulting Allah and His religion, and they have established laws which they enforce upon the people, in opposition to the Book of Allah and the Sunnah of His Prophet (salallahu alayhi wa salam). And you know that this alone is sufficient to expel the one who does it from Islam.
[al-Durar al-Saniyyah 9/257]

The Mufti Muammad ibn Ibrhm l al-Shaykh said:

A land in which judgment is made by man-made law is not a land of Islam, and migration from it is obligatory. Likewise, if idoltary becomes manifest without being condemned or changed, then migration is obligatory. Disbelief, by its widespread prevalence and open manifestation, renders it a land of disbelief.
[Fatw Muammad ibn Ibrhm 6/188]""",0.8400154,0.05314495,0.034077156,0.8400154,Irrelevant,0.34001539999999997
"""May Allah have mercy on both of them 

The Hadth master of the Hijz
The Hadth master of Bengl

Both from the subcontinent 
 Abdul Haqq al-Hshim al-Umar  [1392H]
 Mushhid Ahmad Bayampur  [1390H]",0.057274517,0.3386395,0.6126437,0.6126437,Salafi taklidi,0.11264370000000001
"""Abu Yahya b. Abi Maysarah said: Khalad b. Yahya narrated to us, saying: Misar b. Kidam said:

I pursued hadith together with Abu Hanifah, but he surpassed us. We engaged in zuhd, and he excelled beyond us. And we studied fiqh with him, and from him came what you see.",0.30457532,0.0151389865,0.6558105,0.6558105,Salafi taklidi,0.15581049999999996
"""""No one has any right over Allah to deserve anything from Him.

- Al Tufi 
""
--------------

8th Century AH - Ibn Rajab accuses at-Tf of being an ashari for his views on al-Kasb and doing tawl of the Sift etc.

15th Century AH - An X account named after Ibn Rajab is posting sections of at-Tfs incorrect views on al-Kasb, which was one of the reasons Ibn Rajab accused him in the first place.",0.5170613,0.09256166,0.0955738,0.5170613,Irrelevant,0.017061299999999946
"Abu Bakr at-Tutl (d.270AH) said:

How ugly and disgraceful it is for one who is learned, practicing, insightful, discerning, and truly knowledgeable, to be exposed because of a lack of patience, seeking to hasten the reward, inclining toward the world, and preferring its desires and pleasures.

[Kitb az-Zuhd]",0.19940461,0.018794857,0.6355386,0.6355386,Salafi taklidi,0.13553859999999995
"""""Details on student loan by sh. Abdul Salam al-Shuway'ir 
""
--------------

Its very unlikely the shaykh was given the proper details if he came to this conclusion because SFE isnt selling education, the university is. SFE is onlyp providing financing: it pays the university and immediately creates a liability on the student for the amounts paid (regardless of whether they drop out or not), with interest included from the day of payment to the university. Its got all the hallmarks of a repayable debt/loan (from a fiqh pov) so calling it a purchase of education from SFE wouldnt actually make sense.",0.031332664,0.10407406,0.8470505,0.8470505,Salafi taklidi,0.34705050000000004
"""""scholars belonging to their own creed, and etc. 

Everyone knows the tyranny of Asim Munir, but Asrar continues on with his bootlicking despite what occurred to TLP.

Asrar Rashid is still embraced by the Dawah Mafia. 
""
--------------

Btw as much as I hate Assad Rashid, I must say that you should also condemn the so called defenders of Sunnis from Pak whom are no different than this idiot.

They act anti-Iran and anti-Israel but at the same time praise Asim Munir like Assadists praise Assad (minus the shirk.)",0.20647398,0.7714843,0.17943823,0.7714843,Salafi jihadi,0.2714843
"""""Nazike emperyalist oluyoruz (smrgesiz) 
""
--------------

Establishing bases to protect rotting colonial states against those who seek to implement Law of Allah SWT?

Turkish Ikhwanis (Erdogan supporters) and Pakistani Ikhwanis (Jamatis) are similar in their nifaq.",0.5308251,0.543956,0.04379209,0.543956,Salafi jihadi,0.03082510000000005
