Tweet ID,Text,Final Decision,Assigned To,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
wi7d85jid,"""A few days of patience","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","",""
uj97sjkt8,"    

Ibn Mas'd narrates that the Messenger 'alaihis-salm said:

The most hated speech to Allh is that a man says to another man; ""fear Allh"" - and he responds with ""worry about yourself"".

[As-Silsilah As-Sahhah, Al-Albni]","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Irrelevant","","",""
nqbm118pj,"""From the characteristics of those who neglect the Salh...","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
nryf6y6nh,"""Presenting

 An explanation of the Verse (meaning):

""And follow the path of those who turn to Me in Repentance and Obedience"" [Luqman:15]

 Shaykh Abdulilah Lahmami
 ( )

 Sat. 22nd Nov. 

 6pm

 ALL welcome

 654 Bath Rd, TW5 9TN","Irrelevant","צבי גופרי;אריאל כהן","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","",""
hu2zfvl4a,"""Birmingham Winter Conference 2025 dates and theme announced, alhamdulillh. May Allh bless it.

Wednesday 24th and Thursday 25th December 2025.

Book your hotels and make travel arrangementsmay Allh bless you.

Please share the details with family, friends and acquaintances.","Irrelevant","אילון כהן;בנימין ווליך","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
41n6mekhl,"If Allh wants good for a person he:

1. Clings to the Sunnah &amp; way of Companions
2. Learns knowledge to remove ignorance from himself, sincerely
3. Doesnt learn to debate or acquire this world 
4. Escapes innovations 
5. Asks Allh for success

Summarized from Imm Ajurr (360)","Salafi taklidi","אריאל כהן;הילי חכמי","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","","","",""
hasqxnl2k,""" This knowledge is religion, so consider from whom you take your religion.  Ibn Srn

 LIVE Lecture
 Abu Ukkashah Abdul-Hakeem   
 Monday 27th October
 7:45PM
Markaz us-Sunnah alperton 
 
All welcome!","Salafi taklidi","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","",""
rri0j0zmw,"""The Will (Bequest) of Shaikhanaa Al Almah Rab Ibn Hdi Al Madkhali -  

@almadani_k","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","",""
tzjc37kx0,"Marriage, wealth, health, Hajj, death, food, clothing - everything.

On Laylat al-Qadr, the decrees for the coming year are transferred from al-Lawh al-Mahfooz.

A man once asked al-Hasan while I was listening,

 ""Is Laylat al-Qadr in every Ramadan?""

He replied,

 ""Yes, by Allah, besides whom there is no god, it is in every Ramadan. On Laylat al-Qadr, every wise matter is decreed. Allah determines every lifespan, deed, and provision until the next Laylat al-Qadr.""","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","",""
yv4w27ing,"""Do not make the day you eat and the day you fast on be the same - Jabir ibn Abdillah, may Allah be pleased with them both.","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
d7t5o5sam,"""One who is in distress calls upon Him, and He removes the affliction, relieving them of their hardship. 

How many have sought Allah's help in desperation, only for Him to grant them relief with His abundant blessings!","Irrelevant","צבי גופרי;אריאל כהן","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","",""
1xjix5o3n,"A tremendous evening with our brothers and sisters in London at @_MuSunnah in Alperton (Thursday 9th April 2026). 

Msh-Allh, the Markaz was filled with listeners. With barely a days notice, Ahlus-Sunnah travelled from all across London and beyond to join us. The evening began with a dars by Shaikh @uwaysT followed by Shaikh @AbuIdrees and finally a reminder from myself. 

It is important that we learn and convey this Deen with sincerity and good manners, becoming good examples for those around usthat we are humble and distant from the corrupting influences of social mediathat we take the Messenger Muhammad (peace and blessings be upon him) as our example, and then his Companions (Allah be pleased with them)that we love those those who love and follow them, for they are Ahlul-Hadth was-Sunnahand thereafter, the foremost among them in every age are the scholars (may Allah raise their rank). I can say that over the years, we have benefited greatly from the noble manners of the ulamshaping the way we behave and deal with the peopleand I seek pardon from Allah for my shortcomings.

So, in the West, our communities should focus on seeking knowledge; then act on what we learn, cultivate our children, nurture righteousness in our homes and hold fast to the Sunnah. 

Furthermore, Hijrah should be an important discussion in our households: actively planning and searching for a home in a Muslim country where there are already Salafi communities, however small. 

Know that Hijrah from non-Muslim lands to the lands of Islam is an obligationand a protection for you, your family and children; a safety net against the abandonment of religion today and in generations to come, insh-Allh. 

I also advise that you should not waste your time (and wealth) following the fashions, sinful habits and clothing of the non-Muslims because Islam has its own unique and proud heritage and identitynor should you follow and obsess over the modern-day offerings of entertainment (such as football, boxing and movies) that are designed to divert people away from the realities of life and its purpose: the worship of Allah and following the Messenger (peace and blessings be upon him). Focus, O Muslim, on what benefits you in this life and the Hereafter, brakallhu feekum. 

Do not be impressed by social media influencers who seek only views, likes and followers. Our example is the Prophet of Islamwho taught us to be humble, truthful and sincerethen his Companions and the Righteous Salaf. In these times you see that example reflected in the manners of the scholars and their conduct (may Allah preserve the living and have mercy upon the deceased). 

So, I advise you to get off your mobile devices and drastically limit viewing social media platformsinstead read books, attend duroos, get married, have children, focus on your families and build true Islamic homes. 

May Allah aid the Muslims and guide them to the Sunnah and the path of Ahlul-Hadthand that is the Madhhab of the Salaf. 

In thisby Allahthere is honour, just as Umar (Allah be pleased with him) said: We were a lowly people, and Allah honoured us with Islam. So if we seek honour in other than Islam, then Allah will make us lowly.

Abu Khadeejah.","Salafi taklidi","אילון כהן;בנימין ווליך","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","","","","","","","","","",""
hi28jihvl,"""A day of lessons inshallah. 
Saturday 28th March. From 1pm. 
Masjid Ul Haq, Mandeville. 
With Shaikh @AbuIdrees","Salafi taklidi","אריאל כהן;הילי חכמי","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","","","",""
hiw5zbeg2,"""Our new conference dates! 

With Shaykhs @AbuIdrees @AbuKhadeejahSP @uwaysT 

All welcome!","Salafi taklidi","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","",""
f6laoedxf,"""#MarkazAIM_TheFinalFix_Pledge

Choose your amount:

 1/day

 2/day

 5/day","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","",""
w8jtfpfyk,"Secure Your Reward Tonight | Donate Now | The Final Hours of Ramadan 

 URGENT APPEAL  Markaz us-Sunnah, London

We only have a few hours of Ramadan left  one final opportunity to support your Markaz and earn ongoing sadaqah jariyah, biithnillah.

Raised: 400,000
Remaining: 600,000

Dont let these blessed moments pass without securing your reward. @AbuKhadeejahSP

 Donate Now:
GoFundMe: 

Website: 

 500 Sunleigh Road, Wembley, London, HA0 4NF","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","",""
q4tkh0ctv,"Aid our brothers upon the Sunnah in Reading with what you can.

Aishah    narrated that the Messenger of Allah  said: 
""Whomsoever builds a Masjid for the sake of Allah not desiring to be seen nor heard Allah will build for him a house in Jannah.""

(Saheeh) at-Targheeb wat-Tarheeb 274","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
pdeg0owen,"""In these blessed final hours of #Ramadan, please donate generously to support Aston #Masjid.

 Raised so far this Ramadan: 35,814
 Target: 60,000

JazakallahuKhairun your generosity is greatly appreciated.

 Donate: 

Paypal:","Salafi taklidi","צבי גופרי;אריאל כהן","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Salafi taklidi","","",""
ltqs2i8nx,""" [Playlist New Track] Raman Reminders 1447 | 2026.

 Ahlul-adith and the 73 Sects - By Sh Abu Khadeejah Abdul Wid.

 @MasjidSalafi | @AstonMasjid | @AbuKhadeejahSP","Salafi taklidi","אילון כהן;בנימין ווליך","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","","","","","","","","","",""
y0xmqbjzi,"""We have  been praying and teaching at the Masjid as-Salafi in Birmingham for the last 25 years  with literally thousands of visitors each week. What a blessing from Allah! We thank Him and praise Him for His constant bounties upon us.","Salafi taklidi","אריאל כהן;הילי חכמי","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","","","",""
poeorazz1,"""When Eid falls on the day of al- Jumuah (the Friday Prayer)","Irrelevant","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","",""
3qes3794h,""" New Audio Release

 How to End Your Raman (including some Rulings on Zakt al-Fir & the Eid Prayer)

 Ustdh Abu Abdur-Ramn Hill ( )","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","",""
axgaox6ji,"""Birmingham Eid al-Fitr  Prayer: Friday 20th March 2026. 

 Join Ahlus-Sunnah &amp; pray the Eid Prayer outdoors in accordance to the Sunnah.

 We will be performing the Eid Prayer in Small Heath Park at 7:15am   

@MasjidSalafi @AstonMasjid","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","",""
7v7z6uvim,"""GIVE A QURAN
IN RAMADN (1446-1447)

UK & INTERNATIONAL BANK TRANSFERS

(UK) Santander
Sc: 09 01 29
Acc No: 20 27 46 90
Acc Name: City Centre Dawah

International Bank Account Number (IBAN)
GB88ABBY09012920274690

SWIFTBIC: ABBYGB2LXXX

DonorBox Link","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
dcynbzbzd,"""The Day of Eid: A day of celebration for Muslims, for eating and drinking in the company of family and friends. Even so, you should learn what is allowed and what is not.
The Description of the Eid Prayer and its Takbrs
The Khutbah
Permitted Beautification for Women and the Hijb
Singing for Women
The Giving of Gifts
Important Sunnahs on Eid
Warning the Muslims from sinning on Eid
Read on:","Irrelevant","צבי גופרי;אריאל כהן","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","",""
s4q7cx5um,"Supplicate! Supplicate! Supplicate! on this Final & Last Night of Raman

Alongside Afuww (Pardon), What Should one Ask Allh for on Laylatul Qadr?

An All Encompassing Dua of the Prophet  that highlights the Fiqh of ishah (raiAllhu Anh)","Irrelevant","אילון כהן;בנימין ווליך","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
o4ch18yhl,"""Reflections on the Day of Eid Over the Blessed Month Which Has Passed","Irrelevant","אריאל כהן;הילי חכמי","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","","","",""
am8metbzx,"""As we reach the #final night of #Ramadhn, a night that could be #LaylatulQadr, we humbly ask for your support in maintaining and upkeeping our #masjid.
 
Give generously on this blessed night. #AstonMasjid 

 Donate now: 

Paypal:","Salafi taklidi","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","Salafi taklidi","","","","","","",""
g2l9ib3rw,""" #Ramadhn the month of giving

As we enter the final days/hours of Ramadhn, your #Masjid needs you

Alamdulillh, 33,945 raised so far. Target is 60,000

Reap multiplied reward in these final moments

 Donate now: 

Paypal:","Irrelevant","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","","","",""
o8ezqjbft,"""

Sh Uways at-Taweel: Aid This Cause, Light in the Community @uwaysT

GoFundMe


Website","Salafi taklidi","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","",""
847b4d3rs," 29th Night of Ramadan - could be Laylatul Qadr (better than 1000 months).

Join us for #Quran completion tonight. Inshaa'Allaah

#But we need your #support to keep the masjid running.

 Donate generously: 

May Allah accept &amp; bless you. Ameen.","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
7mxj0ay71,"@s_m_marandi As a Sunni, I consider this a plausible view. In any case, it is untenable for critics to hinge their rejection of Islam on the age of isha, given that one can fully affirm Islam while holding that she was 18 or 19.

For further discussion:

 ","Irrelevant","צבי גופרי;אריאל כהן","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","",""
u4r96v54i,"Question to @MrAdnanRashid do you condemn Asim Muneer and Shabaz Shareef in the strongest terms for normalising praying with Shia, especially leaders of Iran?

I think it is a good antidote to Zionist propaganda intent on causing a Muslim civil war. Do you disagree?","Irrelevant","אילון כהן;בנימין ווליך","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
0smpzb4jz,"""23 years ago today in Gaza, British photographer Tom Hurndall was shot in the head by an Israeli sniper while trying to protect Palestinian children.

Humanity will never forget him","Irrelevant","אריאל כהן;הילי חכמי","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","","","",""
7nndqclwu,"""Piers Morgan reporting me to the Metropolitan Police for words in an interview.

He does not believe in free speech.","Irrelevant","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","",""
d52p58uj7,"Tyranny of Feminist System - CUSTODY OF A MOTHER UNDER ISLAMIC LAW #feminismonovotatraidores","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","",""
52h1294pg,"No s si ustedes recuerdan el ralato bblico del Rey Salomn, contaba que dos madres se peleaban por un beb, ya que una accidentalmente haba ahogado al suyo y remplazado al mismo por el de la otra madre. 

El rey al ver esto, decidi que al nio lo partan en dos con una espada y le den la mitad a cada una. La madre falsa estuvo de acuerdo, la madre verdadera rog llorando que a su hijo se lo entreguen a la impostora para que siga con vida.

Que quiero decir con esto? Que a esta reverenda hdp no la vi llorar por su hijo ni por un segundo, solo se victimiz y falsific informes junto a los supuestos profesionales quitndole la tenencia al padre y cavando la tumba de su hijo.","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
7rk7wtabt,""" ESTA HIJA DE PUTA ES Jennifer Grisel Leiva, la psicloga que permiti el asesinato de ngel a manos de su madre

PARA SORPRESA DE NADIE, trabaja con las viejas terroristas de plaza de mayo

ES UNA ASESINA","Irrelevant","אילון כהן;בנימין ווליך","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
8bynu6how,"""Esta es la psicloga Leiva, la que entreg a Angel a la madre a pesar de que el nene de 4 aos suolicaba no ir con ella. Miserable.","Irrelevant","אריאל כהן;הילי חכמי","","","","","","","","","","","Skip","אופק ביקש שנדלג כדי שיוכל למחוק אותם","","","","","Skip","ספרדית","","","","","","","",""
ef4ugn5vl," -   4    4 . 

-  

-  

- 

- .() .  .

-   . 

- .

- 

-   

-  ","Irrelevant","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","",""
uhdgmt9wb,"""In Argentina, a feminist judge forced this four year old kid to spend time with his mother.

He cried every time he had to go with her.
The father warned every authority.

Two days ago, she murdered him.

Feminism is a freaking mental disorder.","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","",""
wqm3anlrw,"Saudi Arabia just executed Ali al-Subeiti, a Shi'i from al-Qatif, after 15 years of imprisonment. When he was arrested and imprisoned for protesting, he was 12 years old.

Read that again: 
They imprisoned a 12-yr-old child till he was an adult to execute him!!!","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
64d8yk681,"American journalist Propaganda & Co. describes his experience being in the Strait of Hormuz amidst the war, and explains how Irans control over the strait is highly beneficial for its economy 

It was filled with oil tankers. The IRGC had these ships parked there, basically held at gunpoint, until they figured out who they really worked for. The ones that were allowed to pass through had to pay $2 million in Chinese Yuan, or through a crypto stablecoin. This would add a 10% boost to Irans GDP, which is significant for the country.","Irrelevant","צבי גופרי;אריאל כהן","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","",""
fzvtci78u,"the Gulf should swap US bases for Pakistani ones. Pakistan has workable ties with Iran (less risk of escalation) and soldiers far more willing to fight for the region","Irrelevant","אילון כהן;בנימין ווליך","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
l5yzyiwy9,"""          !

Travel with us and bring your family for a guided Umrah designed with luxury and unforgettable experiences in mind.

   
 Packages starting  
 Departing from Manchester

Payment plans and low installment options available!

  : 

  &    :","Irrelevant","אריאל כהן;הילי חכמי","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","","","",""
xeuq02qrz,"   

""           ""

 By Ustdh Abdul Hakeem Mitchell @ibnmitchell   

Join us for a beneficial lesson discussing this noble Hadeeth.

    
    |   

Collaboration lecture with the Sisters at Ummahaatul Mumineen @UMMInstitute 

             . 

   : 

The Salafi Centre of Manchester 
  
 @salaficentre 
 

 Share with your family & friends!","Salafi taklidi","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","",""
c2qq2qssa,"""   

  & :

Imam Sadis explanation of Jawaamiu Al-Akhbaar with additional benefits from Shaykh Ubayd

Ustdh Abu Abdir-Rahmn Hill   
@MarkazSalafi 

 Live at the Masjid
 All Welcome

  :  

    :","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","",""
92y3xe1jj,"""       !

Visit us in-store and pick up your copy!","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","",""
xnvktx5ar,""" Sisters Qurn Classes

Our Qurn classes for sisters are designed to help you learn from the very basics to fluency.

 Beginner friendly
 Step-by-step
 Tajweed
 Hifdh

 Sign up at:","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
fowrzv68l,"""Live Now:

Lesson One

The uprightness of the heart

By Imm ibn al-Qayyim (may Allah have mercy upon him).

Read by Shaykh 'Abdulilah Lahmami (may Allh protect him).

 Listen via:","Salafi taklidi","צבי גופרי;אריאל כהן","","","","","","","","","","","Salafi taklidi","","","","","","","","","","","","Salafi taklidi","","",""
r1ojt3rug,"Alhamdulillh!
Today we witnessed a beautiful moment in the masjid as a brother, embraced Islam and took his shahdah. 

May Allah bless him with beneficial knowledge, steadfastness, and a life filled with guidance and goodness.","Irrelevant","אילון כהן;בנימין ווליך","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
wpblldpvj,"""Striving to be truthful, and nurturing ourselves and our households to be truthful, and to hate lying and teaching our household the evilness and ugly nature of lying.","Irrelevant","אריאל כהן;הילי חכמי","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","","","",""
uopcpcokw,"""A profound and powerful reminder by Shaykh Abu Khadeejah @AbuKhadeejahSP (may Allh protect him) concerning the parents.

A reminder that truly hits the heart and brings tears to the eyes.
May Allh forgive us for our many shortcomings towards our parents, and grant us the ability to be dutiful, loving, and righteous to them.
A must listen:","Salafi taklidi","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","",""
