text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,model_decision
"""Now do you understand why 260 women and minors are raped EVERY DAY in this colony? 
Its a normalised and enabled culture of rape and gender based violence""",0.9978715,0.004370118,0.004075679,
"""LMAO this time they cooked Erica Kirk",0.9973092,0.003827297,0.004718257,
"""@MarioNawfal You are a simple minded propagandist.

Trump didnt live up to his commitment.

The US didnt end the blockade.

So Iran doesnt open the Strait.

Its that easy.

Who do you think won this war?

It wasnt Trump.

Iran holds all the cards.""",0.9970395,0.0048629153,0.0042947647,
"""Trumps spiritual advisor Paula White admits she rewrites verses of the Bible with her name.

This is how and why Christians ended up with more than 50 versions of the Bible today.

They took their rabbis and priests as lords besides Allah. [Quran 9:31]",0.99750406,0.0044048075,0.0039368523,
"""Here is the testimony of survivors he shared: 

1) ""Nihad"" (50-year-old father, Ofer Prison): In an interview with Anadolu Agency, Nihad testified that during a pre-dawn raid on January 14, 2024, Israeli soldiers ordered a police dog to sexually assault him. He described it as ""the most painful moments of my life"" and noted that the assault left him with deep physical wounds and long-term trauma.

2) ""A.A."" (35-year-old father, Sde Teiman): Arrested from Al-Shifa Hospital in March 2024, A.A. told the PCHR that soldiers took him to a corridor away from cameras, stripped him naked, and unleashed dogs that urinated on him before one dog raped him anally for approximately three minutes. He emphasized that the dog appeared ""trained"" and ""knew exactly what it was doing"".

3) ""Halim Salem"" (Pseudonym, West Bank Detainee): Testified to Middle East Eye that while he was forced to kneel with his head in a toilet, guards brought in a dog that ""mounted and raped"" him. He recalled that when he screamed, the guards beat him for ""disturbing the dog"".

4) ""Wajdi"" (43-year-old, Gaza Detainee): Recounted to the Euro-Mediterranean Human Rights Monitor that during interrogation, he was tied naked to a metal bed and raped by both a soldier and a dog while other soldiers filmed and mocked him.

5) Mohammed Arab (Al Araby TV Correspondent): While detained at Sde Teiman, he told his lawyer he witnessed soldiers forcing dogs to rape prisoners. He stated, ""They teach their dogs to have sex with prisoners. Can you imagine?"".

6) 18-year-old Gazan Detainee (Sde Teiman): Testified to PCHR that while he and other captives were being raped with bottles by soldiers, there was ""also a dog behind us, as if the dog was raping us,"" serving as a form of extreme psychological and physical humiliation.

7) 48-year-old Detainee (Al-Shifa/Military Outpost): Reported witnessing a dog maul another mans genitals until the victim bled to death in his arms.

8) The Committee to Protect Journalists and Middle East Monitor have collected dozens of testimonies from journalists who reported being subjected to ""dog attacks"" and sexualized torture during their detention.""",0.99461335,0.0047422033,0.0043825572,
"""An Israeli analyst confirms accounts of Palestinians being raped and sexually assaulted using dogs at Israeli detention sites, citing two guards he spoke with at Sde Teiman torture prison. 

One had witnessed it and said it was too awful to describe. The other said he had heard about it from others and believed it was true. Ben-Ephraim shares documented cases by various human rights groups below.

This happened. This is still happening. The evidence is overwhelming, he notes.""",0.9957306,0.003559915,0.005719653,
"""@AsianDigest The hatred of the filthy pajeets are totally out of control.

May Allah protect the Muslims in india  Ameen""",0.98898613,0.007779288,0.002535296,
"Indeed, Allh confers blessing upon the Prophet, and His angels [ask Him to do so]. O you who have believed, ask [Allh to confer] blessing upon him and ask [Allh to grant him] peace 

al-Ahzab 33:56",0.99520326,0.002299447,0.008714522,
"""A Hui official who defected from the CCP system just gave @CNN a firsthand account of what is happening in the Uyghur Region right now.

""Especially in East Turkistan, if you express your Islamic faith, there are concentration camps. They have detained a huge number of people, and they are still detaining people now.""

Those accused of ""spreading extremist religious ideology"" face ""detention, reeducation through labor, and sentencing.""

This is not history. This is ongoing.""",0.99721575,0.0050586374,0.003216148,
"""Three civilians were killed and 15 others injured in an airstrike by military regime jet aircraft in Kabul.""",0.9971552,0.0054327864,0.0032801507,
"""The mushrikeen of China, the eaters of cockroaches, rats, and insects are among the filthiest, dirtiest, worse creation.

What they're inflicting upon our Uyghur brothers and sisters under a total media blackout shows you the extent of their malice, evil, hatred, and loathing for Islam and Muslims.

Here is a list of the crimes they're commiting against our brothers, may  disgrace them:

The industrial-scale harvesting of organs from living Muslim prisoners to sell on the global market.

The systematic forced sterilization of Muslim women to permanently sever the lineage of the Muslims.

The state-mandated ""Home Stay"" program where Han Chinese men are forced into the private bedrooms of Muslim women while their husbands are in camps.

The desecration of our Deen by forcing Muslims to consume swine, drink alcohol, and burn the Book of .

The transformation of entire cities into open-air high-tech prisons where millions are tortured just for saying ""   .""

And they're not only doing this to millions of muslims over there, they're committing these atrocities in broad daylight while this hypochrite world remains silent. 

This is what we are to them. This is the hatred they harbor for the people of Islam.

But  , We have  in the Heavens Who sees everything. 

We are witnesses to your crimes, you filthy mushrikeen, and your day is coming. 

There is no escape from the Justice of .

O , grant victory to our brothers in East Turkestan. 

O , take revenge on the criminals of China and send upon them a punishment that makes them a lesson for all of history. 

O , destroy them and shake the earth beneath them. 

O , forgive us for our shortcomings and our failure to aid them. Use us for Your cause and don't replace us.""",0.9950452,0.007888341,0.0025301615,
"Referning to Chinese-occupied East Turkistan as Xinjiang is like refering to Palestine, as I/rael. 

Remember the Uyghurs and the Palestinians muslims in your Dua especially in these last ten days of Ramadan.",0.9973489,0.0044718026,0.0033216795,
"""Have you fallen for Chinese propaganda or know someone who has?",0.99767274,0.0046464903,0.0038396083,
Examination of Tafsir at a Salafi Madrasa in Kunar province Afghanistan.,0.04022962,0.0032358125,0.9410778,
Is it just me or this Ramadan is going too fast.,0.9973621,0.0037479212,0.0044867885,
"Allahumma innaka afuwwun tuhibbul afwa fafu anni

O Allah, You are Most Forgiving and love forgiveness, so forgive me.",0.99647164,0.0028056975,0.006069002,
"""Shh Walullh ad-Dihlaw   
Know that before the fourth century, people were not unanimous in their adherence to a single, specific Madhab.
[   26p V1]
Sh Aminullah Peshawari: rather a scholar that was knowledgeable, the people would ask them questions . ++",0.0036268358,0.006369504,0.99366647,
"""     

Shah Ismail Dehlvi   
Then I wonder how it is permissible to do Taqlid of a specific person when one can refer to the explicit narrations transmitted from the Prophet  that contradict the statement of the Imam.",0.80242616,0.00055948185,0.4056671,
"Sheikh Muhammad al Amin al Shinqiti  

 Just as whoever associates partners with him (Subhanahu wa ta'ala) in worship is a Kafir in Him, so too is whoever associates partners with Him in His lagislation is a Kafir in Him.

The Quran clarifies its equality, +",0.0074173445,0.00235961,0.98507464,
"and says regarding associating partners With Allah (ta'ala) in worship :

[.. So whoever hopes for the meeting with their Lord, let them do good deeds and associate none in the worship of their Lord] 18:110",0.9915296,0.0033369213,0.0063850135,
"He (SWT) said, in legislation :

[ and He shares not His legislation with anyone.] 18:26



Scans credit :",0.9963063,0.0026454546,0.0062163034,
"Mufti Muhammad bin Ibrahim:

 Regards to Tawagheet : 
by making takfr of them, and doing inkr and avoid them. 

However, (people) reversed the matter and believed in them  made them their rulers over them &amp; substituted the Book &amp; Sunnah or equited them with it. Thus they are +",0.0011622527,0.34531185,0.781211,
"not believers , this indicates that Kufr bit-Taghut is a pillar of Tawheed and does not coexist with belief in Allah,
Allah say  

[So whoever disbelieves in ghtand believes in Allh has grasped the most trustworthy handhold.. (2:256 Surah Baqarah)]",0.0014752544,0.35307962,0.7633713,
"""Horrific reports continue to emerge of Chinese government sending Chinese cadres into Uyghur homes to rape Uyghur women. 

To all who stand for womens rights, justice, and human dignityyour silence in the face of Chinas state-sponsored atrocities against Uyghur women for years, is indefensible. Chinese embassy in the US didnt even hide their crimes and publicly celebrated by tweeting Uyghur women are no longer baby making machines. -please google that and youll see the actual tweet. 

When Uyghur womens bodies are turned into the battlefield of genocide with force sterilization, forced abortion and forced marriages, your silence is not neutrality but it is complicity. You cannot claim credibility in defending justice anywhere if you ignore Uyghur atrocities.

Justice requires leaders who aren't afraid of the cost. I have lost my dear sister to the regime's retaliation for my own advocacy for speaking out, yet I refuse to be silent. I am asking you to have the courage, and please, use your global platforms to lead a movement and be the voice for those who have been stripped of theirs. 

@IWF 
@EmmaWatson 
@brielarson 
@GeenaDavisOrg 
@SophiaBush 
@AshleyJudd 
@alyssa_Milano
@TheShilpaShetty 
@jameelajamil 
@itsgabrielleu 
@rosemcgowan 
@GillianA 
@TheCircleNGO 
@Malala 
@TaranaBurke""",0.9954745,0.00832206,0.0022017811,
"""@Tiger911494404 Always thought the deaths of both him and John Smith were entirely suspicious and the death of Dr David Kelly confirmed the plausibility of that scepticism""",0.99692184,0.0045004557,0.0038850468,
"""@Tiger911494404 Something out of the ordinary happened that day on Ben Stack. Robin Cook was taken in an air ambulance helicopter to Inverness but his wife chose not to go with him and was escorted down the mountain by a man who has never been identified.",0.99746513,0.00403451,0.004236517,
"""POLICE Scotland have been told to release more details about the death of Robin Cook following a freedom of information request.

The former Foreign Secretary, who became the most senior Labour figure to oppose Tony Blairs decision to invade// heart attack or was he pushed",0.99762565,0.004097399,0.00400249,
"""These people don't know the difference between ""terrorism"" and ""liberation.""

For them, ""liberating"" the ""wrong people"" is ""terrorism.""

But, they get confused about who the ""right"" and ""wrong"" people are, even changing the criteria based on who is paying their politicians the most.

The Taliban were the ""right"" people to ""liberate"" in the 80s.

Since 2001, the Taliban were the ""wrong"" people and their ""liberation"" meant ""funding terrorism.""

When you have a sliding scale of morality like the above, the ""terrorists"" and ""wrong people"" can become your friends while ""freedom fighters"" and ""right people"" can become your enemies.

This is a direct result of basing morality upon politics and man-made laws; both of which are constantly manipulated by those with power and wealth.

We shouldn't have this problem as Muslims, IF and WHEN we judge solely based on the Divine justice that exists only in the Shari'ah.""",0.9975011,0.0046368935,0.0037536107,
"""Niger.

One of the poorest countries on earth.

Also one of the largest uranium producers on earth.

The uranium that powers French nuclear reactors, which provide seventy percent of France's electricity, has come from Niger for decades.

The price France paid for that uranium was set by AREVA, the French state nuclear company.

Below market rate.

For decades.

Niger sat on one of the most valuable energy resources in the world and could not afford to keep its lights on.

The irony is not ironic.

It is structural.

It was designed.

When Niger's new government after the 2023 coup demanded renegotiation of the uranium contracts, France called it instability.

Called it a threat to regional security.

Called for international pressure to restore the previous order.

The previous order in which French reactors ran on Nigerien uranium at prices set in Paris.

That order was called stability.""",0.9972801,0.005177124,0.0034212747,
"""             ?    ?     ?",0.9974439,0.004800905,0.003557558,
"""An IDF whistleblower says aid from ~1,000 trucks was burned or buried, then blamed on Hamas destroy the food",0.9976203,0.004709081,0.0034758928,
"""Pocos saben que hasta el ao 1967, los nativos en Australia estaban regidos como en una ley especista de Flora y Fauna, eran maltratados legalmente como animales, no eran considerados como seres humanos.

Los pueblos indgenas de Australia vivieron en el continente ms de 65.000 aos antes de que, en 1788, lo invadieran los colonos britnicos... cuando llegaron haba cerca de 1 milln de nativos y para 1901, quedaban menos de 30.000 tras el exterminio a manos del demonio colonialista blanco.

Esta es la ""civilizacin"" de la que hace gala Occidente, esa que se permite dar lecciones de democracia y derechos humanos al mundo.""",0.9972197,0.005455054,0.0033819922,
"""How can the BBC be this unlucky with presenters",0.9974841,0.0039733923,0.004173138,
"""People were peeing in public.

The government installed toilets on the road to stop it.

People stole the bulbs, water pipes, and sheets, and broke the tiles.

People started peeing in public again.",0.9976901,0.0049881567,0.0039876583,
"""The masters are temporarily pleased with Pakistan...""",0.9975521,0.0051096356,0.0031576185,
"""Corrupt Zionist puppet..",0.99748373,0.0048954,0.003410953,
