Tweet ID,Text,Final Decision,Assigned To,Label_Lior,Reasons_Lior,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אוריכהן,Reasons_אוריכהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_כיתה,Reasons_כיתה,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה,Eli,source_file,normalized_text
6cjeijxuo,"""   ( ) said:

.
If the ruler opposes the Sunnah,
and the people say: We have been commanded to obey him 
then Allh will place doubt in their hearts
and cause them to turn against one another.

 al-Ibnah a-ughr, no.",Salafi taklidi,ענה-יה אך,,,,,,,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" ( ) said: . If the ruler opposes the Sunnah, and the people say: We have been commanded to obey him then Allh will place doubt in their hearts and cause them to turn against one another. al-Ibnah a-ughr, no."
9k9djzb8t,"""              ,                

      ,                         

  ,      ,  , ,             

[ .-    ,                                       ,  ]

 Voice of Bangladesh Muslims""",Irrelevant,צבי גופרי;הילי חכמי,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,Irrelevant,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" , , , , , , [ .- , , ] Voice of Bangladesh Muslims"""
efhmvwv3l,"""         ,   ,  .

Ibnul Qayyim, Badaa' Al-Fawaa'id v.2 pg.234",Irrelevant,צבי גופרי;אריאל כהן,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,python/ELI/all_tweets.xlsx,""" , , . Ibnul Qayyim, Badaa' Al-Fawaa'id v.2 pg.234"
gywlgqmgo,"""       , 
      .  
What are the reasons for not enjoying acts of worship and what should be done. 

Sheikh SardarWali Thaqib  
[Pashto - English]",Salafi taklidi,הילי חכמי;אריאל כהן,,,,,,,,,,,,,,,Salafi taklidi,,,,,,Salafi taklidi,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" , . What are the reasons for not enjoying acts of worship and what should be done. Sheikh SardarWali Thaqib [Pashto - English]"
vggmrxlxy,"""  ,     

Shaykh Muhammad ibn 'Abdullatf l Ash-Shaykh said:

""Allh - blessed and exalted be He - deals with His servants according to how they place Him as it relates to themselves.

Whoever reveres the command of Allh, obeys Him, avoids His prohibitions, and fears Him in secret and in public, Allh will be pleased with him and grant him happiness.

But whomsoever opposes His commands and embarks upon His prohibitions, and gives precedence to his desires over obedience to his Master, Allh will take retribution against him and distance him. As you act, so shall you be treated; an appropriate recompense. And your Lord is not at all unjust to (His) slaves.""

 Durar as-Siniyyah fil Ajwibah an-Najdiah (14/289)""",Salafi taklidi,אריאל כהן,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,,,,,,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" , Shaykh Muhammad ibn 'Abdullatf l Ash-Shaykh said: ""Allh - blessed and exalted be He - deals with His servants according to how they place Him as it relates to themselves. Whoever reveres the command of Allh, obeys Him, avoids His prohibitions, and fears Him in secret and in public, Allh will be pleased with him and grant him happiness. But whomsoever opposes His commands and embarks upon His prohibitions, and gives precedence to his desires over obedience to his Master, Allh will take retribution against him and distance him. As you act, so shall you be treated; an appropriate recompense. And your Lord is not at all unjust to (His) slaves."" Durar as-Siniyyah fil Ajwibah an-Najdiah (14/289)"""
w1gsxhut1,""" -  !!

Were now in the final stretch of our renovations - ahead of our schools & clubs resuming within the next week. 

Alhamdulilh we have a double donation scheme             ! 
 
Help us get closer to our appeal target -  you give will be doubled  so dont miss out! 

Shaykh Saaleh al-Fawzaan( ) mentioned: Indeed the giving of charity from ones pure wealth and from ones halaal earnings in the cause of Allaah (  ), is from the            .

: 

 

 

 :
Account Name: Dar Ul Hadith
Sort Code: 309542
Account Number: 05570092
Bank Name: Lloyds
:",Salafi taklidi,ענה-יה אך;אילון כהן,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,,,,,Salafi taklidi,,,,,,,python/ELI/all_tweets.xlsx,""" - !! Were now in the final stretch of our renovations - ahead of our schools & clubs resuming within the next week. Alhamdulilh we have a double donation scheme ! Help us get closer to our appeal target - you give will be doubled so dont miss out! Shaykh Saaleh al-Fawzaan( ) mentioned: Indeed the giving of charity from ones pure wealth and from ones halaal earnings in the cause of Allaah ( ), is from the . : : Account Name: Dar Ul Hadith Sort Code: 309542 Account Number: 05570092 Bank Name: Lloyds :"
56zyuv6pt,"""  -   

 &       

Ustdh Abu 'Ukkshah & Ustdh Abu Inaayah

   
  :

 All welcome, 
Brothers & Sisters side open

 At the Masjid: 
2 Dudley Street, Manchester, M8 9DA

   :",Salafi taklidi,הילי חכמי,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" - & Ustdh Abu 'Ukkshah & Ustdh Abu Inaayah : All welcome, Brothers & Sisters side open At the Masjid: 2 Dudley Street, Manchester, M8 9DA :"
xcv1voef9,"""   - .

               

  :

- Repair and resurface the masjid car park
- Replace the shed with a selling pod and storage area to raise funds
- Install a hatch and serving space for selling on Fridays and other occasions
- Fix and install cupboards throughout the flat areas to increase space for musalleen (worshippers)
- Fix tiles, regrout, and repair leaks in the musallah to accommodate more people in the masjid.

        ,         . ( & )

  


  :

:
Account Name: Dar Ul Hadith
Sort Code: 309542
Account Number: 05570092
Bank Name: Lloyds
BIC CODE: LOYDGB21004
IBAN NUMBER: GB19 LOYD 3095 4205 5700 92
: 

:


Don't forget to Gift Aid your donation -    % - by filling this form in:",Salafi taklidi,ענה-יה אך,,,,,,,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,python/ELI/all_tweets.xlsx,""" - . : - Repair and resurface the masjid car park - Replace the shed with a selling pod and storage area to raise funds - Install a hatch and serving space for selling on Fridays and other occasions - Fix and install cupboards throughout the flat areas to increase space for musalleen (worshippers) - Fix tiles, regrout, and repair leaks in the musallah to accommodate more people in the masjid. , . ( & ) : : Account Name: Dar Ul Hadith Sort Code: 309542 Account Number: 05570092 Bank Name: Lloyds BIC CODE: LOYDGB21004 IBAN NUMBER: GB19 LOYD 3095 4205 5700 92 : : Don't forget to Gift Aid your donation - % - by filling this form in:"
7yb0b9tr7,"""    
  - 

Explanation of Select Ahadith from The Book of Holding Fast to the Book and the Sunnah from Sahih Bukhari

Explanation of Shaykh Rabee (Allah Preserve him)

Lesson by Ustaadh AbdulHakeem Mitchell @ibnmitchell hafidhahullh

    

Brothers & Sisters all welcome

:
Phil Martin Centre, 
139 Princess Road, 
Moss Side, M14 4RE

  : 
 &",Salafi taklidi,צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,python/ELI/all_tweets.xlsx,""" - Explanation of Select Ahadith from The Book of Holding Fast to the Book and the Sunnah from Sahih Bukhari Explanation of Shaykh Rabee (Allah Preserve him) Lesson by Ustaadh AbdulHakeem Mitchell @ibnmitchell hafidhahullh Brothers & Sisters all welcome : Phil Martin Centre, 139 Princess Road, Moss Side, M14 4RE : &"
g0ohewoi6,"""            .                             .",Irrelevant,ענה-יה אך,,,,,,,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" . ."
ix8terjj6,""" 2 Short Reminders Added.
Raman 1447 | 2026  Daily Reminders  Birmingham: @MasjidSalafi  &amp; @AstonMasjid,",Salafi taklidi,אילון כהן;זיו חסון,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,Salafi taklidi,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" 2 Short Reminders Added. Raman 1447 | 2026 Daily Reminders Birmingham: @MasjidSalafi &amp; @AstonMasjid,"
vwkx9r5h9,""" 25 WELLS FOR RAMADN 

Nearly there
Only 1,386.60 required 
Lets compete this one tonight !

PayPal 


CURRENT TOTAL 38,613.40",Irrelevant,הילי חכמי,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" 25 WELLS FOR RAMADN Nearly there Only 1,386.60 required Lets compete this one tonight ! PayPal CURRENT TOTAL 38,613.40"
uvflsx6q5,""" 25 WELLS FOR RAMADN 

UK & INTERNATIONAL BANK TRANSFERS

(UK) Santander
Sc: 09 01 29
Acc No: 20 27 46 90
Acc Name: City Centre Dawah

International Bank Account Number (IBAN)
GB88ABBY09012920274690

PayPal Link


DonorBox Link",Irrelevant,זיו חסון,,,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" 25 WELLS FOR RAMADN UK & INTERNATIONAL BANK TRANSFERS (UK) Santander Sc: 09 01 29 Acc No: 20 27 46 90 Acc Name: City Centre Dawah International Bank Account Number (IBAN) GB88ABBY09012920274690 PayPal Link DonorBox Link"
mrb6ioj1k,""" 5k, 3 days. Lets clear these  and get closer to saving the Markaz!

A Markaz upon the Sunnah stays standing because people step forward.

5. 50. 500.

The dawah is upheld by those who carry it.

Give what you can. Be written among the builders. 

Donate Tonight",Irrelevant,צבי גופרי;אריאל כהן,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,python/ELI/all_tweets.xlsx,""" 5k, 3 days. Lets clear these and get closer to saving the Markaz! A Markaz upon the Sunnah stays standing because people step forward. 5. 50. 500. The dawah is upheld by those who carry it. Give what you can. Be written among the builders. Donate Tonight"
qej7424n9,"""  :        ?   

A thread containing over 90 different sources, exposing the rampant practice of shirk, superstition and irreligiosity within the Muslim world before, during and after the time of Muammad Ibn Abd al-Wahhb.

[1] European explorers
[2] Muslim scholars, historians & travellers
[3] Opponents of Wahhbism
[4] Wahhb testimonies"",",Salafi taklidi,אריאל כהן;אילון כהן,,,,,,,,,,,,,Salafi taklidi,,Salafi taklidi,,,,,,,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" : ? A thread containing over 90 different sources, exposing the rampant practice of shirk, superstition and irreligiosity within the Muslim world before, during and after the time of Muammad Ibn Abd al-Wahhb. [1] European explorers [2] Muslim scholars, historians & travellers [3] Opponents of Wahhbism [4] Wahhb testimonies"","
8fu5l5jpo,"""       :         

It is indicated by the hadith of Ibn Umar    that the Messenger of Allh  said:

 ,       ,               .

A woman from among them said: And why is that, O Messenger of Allh? He said: You curse frequently and are ungrateful to your husbands.
[, ]

        ,         . ()

:
Account Name: Dar Ul Hadith
Sort Code: 309542
Account Number: 05570092
Bank Name: Lloyds
: 

  :",Irrelevant,צבי גופרי;אריאל כהן,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,python/ELI/all_tweets.xlsx,""" : It is indicated by the hadith of Ibn Umar that the Messenger of Allh said: , , . A woman from among them said: And why is that, O Messenger of Allh? He said: You curse frequently and are ungrateful to your husbands. [, ] , . () : Account Name: Dar Ul Hadith Sort Code: 309542 Account Number: 05570092 Bank Name: Lloyds : :"
nl59vf0fg,""" :  
 Usool-Us-Sunnah of Imm Ahmad  
Abu Ukkshah Abdul-Hakeem 
 
 
 Stifford Centre, E1 3JG
 Brothers and sisters welcome 
 Tune in live via:",Salafi taklidi,בנימין ווליך,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" : Usool-Us-Sunnah of Imm Ahmad Abu Ukkshah Abdul-Hakeem Stifford Centre, E1 3JG Brothers and sisters welcome Tune in live via:"
h21z20tew,"""  ?",Irrelevant,אורי כהן;זיו חסון,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" ?"
hodo6dlld,"""    ?

It is the call which Allh sent His Prophet Muhammad  with  adherence to the Quran and the purified Sunnah.

It calls to follow the methodology of the Messenger :

 Spreading the call to Muslims and non-Muslims
 Teaching Tawheed (monotheism) and sincerity to Allh
 Belief in His Messenger 
 Abandoning shirk (associating partners with Allh)

                 .

      ,                         ,   :

 O mankind! Worship your Lord [al-Baqarah, verse 21]

 Worship Allh and join none with Him [an-Nis, verse 36]

 And they were commanded not, but that they should worship Allh, making the religion sincerely for Him [al-Bayyinah, verse 5]

             ,  ,      .

         ,          , ,  , , , ,     .

        .

 al-Imm Abdul-Azz Ibn Bz (rahimahullh)",Salafi taklidi,זיו חסון;צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,Salafi taklidi,,,,,python/ELI/all_tweets.xlsx,""" ? It is the call which Allh sent His Prophet Muhammad with adherence to the Quran and the purified Sunnah. It calls to follow the methodology of the Messenger : Spreading the call to Muslims and non-Muslims Teaching Tawheed (monotheism) and sincerity to Allh Belief in His Messenger Abandoning shirk (associating partners with Allh) . , , : O mankind! Worship your Lord [al-Baqarah, verse 21] Worship Allh and join none with Him [an-Nis, verse 36] And they were commanded not, but that they should worship Allh, making the religion sincerely for Him [al-Bayyinah, verse 5] , , . , , , , , , , . . al-Imm Abdul-Azz Ibn Bz (rahimahullh)"
yntrsbee6,""" A Concise Discussion on the Rulings of Zaktul-Fir 

 Points Covered (taken from Al-Fiqh al-Muyassar of Shaykh Abdur-Ramn ibn Nir Al-Sa'di):
- Why is Zaktul-Fir called Zaktul-Fir?
- Is Money given as Zaktul-Fir?
- The Ruling on who Zaktul-Fir is obligatory upon
- The Measurements of Zaktul-Fir
- What are the Conditions of giving Zaktul-Fir?
- Who's Responsibility is it to give Zaktul-Fir? 
- Who doesn't have to give Zaktul-Fir?
- The Wisdom of giving Zaktul-Fir and 3 Benefits of it
- A Significant Benefit mentioned by Imam al-Sa'di ( ) concerning the Rich and the Poor on Eid day
- When does one have to give Zaktul-Fir and the Ruling on giving it outside of the prescribed timeframes?",Salafi taklidi,בנימין ווליך,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" A Concise Discussion on the Rulings of Zaktul-Fir Points Covered (taken from Al-Fiqh al-Muyassar of Shaykh Abdur-Ramn ibn Nir Al-Sa'di): - Why is Zaktul-Fir called Zaktul-Fir? - Is Money given as Zaktul-Fir? - The Ruling on who Zaktul-Fir is obligatory upon - The Measurements of Zaktul-Fir - What are the Conditions of giving Zaktul-Fir? - Who's Responsibility is it to give Zaktul-Fir? - Who doesn't have to give Zaktul-Fir? - The Wisdom of giving Zaktul-Fir and 3 Benefits of it - A Significant Benefit mentioned by Imam al-Sa'di ( ) concerning the Rich and the Poor on Eid day - When does one have to give Zaktul-Fir and the Ruling on giving it outside of the prescribed timeframes?"
r1xr7vgla,""" A Kashmiri Muslim has been lynched to death by a mob of Dogra Hindu fanatics in Ramban",Irrelevant,אילון כהן;זיו חסון,,,,,,,,,,,,,Irrelevant,,,,,,,,,,Irrelevant,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" A Kashmiri Muslim has been lynched to death by a mob of Dogra Hindu fanatics in Ramban"
